Image Tag,Analysis Region,Phenotypes,# Cells / mm²
168976_LYMPH-NODE_ILC1,Extra-follicular zone,ILC1,2.682500957
168977_LYMPH-NODE_ILC1,Extra-follicular zone,ILC1,2.50500569
168978_LYMPH-NODE_ILC1,Extra-follicular zone,ILC1,2.099786498
168979_LYMPH-NODE_ILC2,Extra-follicular zone,ILC2,10.57876205
168980_LYMPH-NODE_ILC2,Extra-follicular zone,ILC2,1.360774491
168981_LYMPH-NODE_ILC2,Extra-follicular zone,ILC2,5.939524838
168982_LYMPH-NODE_ILC2,Extra-follicular zone,ILC2,2.128342246
168983_LYMPH-NODE_ILC2,Extra-follicular zone,ILC2,7.175572519
168984_LYMPH-NODE_ILC2,Extra-follicular zone,ILC2,3.606446945
168985_LYMPH-NODE_ILC2,Extra-follicular zone,ILC2,12.42519865
168986_LYMPH-NODE_ILC2,Extra-follicular zone,ILC2,4.392274655
168987_LYMPH-NODE_ILC3,Extra-follicular zone,ILC3,1.771415832
168988_LYMPH-NODE_ILC3,Extra-follicular zone,ILC3,9.474513334
168989_LYMPH-NODE_ILC3,Extra-follicular zone,ILC3,1.031457955
168990_LYMPH-NODE_ILC3,Extra-follicular zone,ILC3,4.15560492
168991_LYMPH-NODE_ILC3,Extra-follicular zone,ILC3,4.285601328
168992_LYMPH-NODE_ILC3,Extra-follicular zone,ILC3,2.472932445
168993_LYMPH-NODE_ILC3,Extra-follicular zone,ILC3,0.846098153
168994_LYMPH-NODE_ILC3,Extra-follicular zone,ILC3,2.023500052
168525_TONSIL_ILC1,Germinal center,ILC1,5.730659026
168526_TONSIL_ILC1,Germinal center,ILC1,2.140672783
168527_TONSIL_ILC1,Germinal center,ILC1,0.167410714
168528_TONSIL_ILC1,Germinal center,ILC1,1.91051399
168529_TONSIL_ILC1,Germinal center,ILC1,2.57929162
168530_TONSIL_ILC1,Germinal center,ILC1,5.446040762
168531_TONSIL_ILC1,Germinal center,ILC1,2.110167169
168532_TONSIL_ILC1,Germinal center,ILC1,12.83905145
168533_TONSIL_ILC2,Germinal center,ILC2,54.50733753
168534_TONSIL_ILC2,Germinal center,ILC2,40.33472803
168535_TONSIL_ILC2,Germinal center,ILC2,3.87755102
168536_TONSIL_ILC2,Germinal center,ILC2,28.42125754
168537_TONSIL_ILC2,Germinal center,ILC2,34.19475157
168538_TONSIL_ILC2,Germinal center,ILC2,17.96996375
168539_TONSIL_ILC2,Germinal center,ILC2,15.40983607
168540_TONSIL_ILC2,Germinal center,ILC2,38.47675153
168541_TONSIL_ILC3,Germinal center,ILC3,0.71942446
168542_TONSIL_ILC3,Germinal center,ILC3,0.67001675
168543_TONSIL_ILC3,Germinal center,ILC3,0.0
168544_TONSIL_ILC3,Germinal center,ILC3,0.925497455
168545_TONSIL_ILC3,Germinal center,ILC3,14.39054219
168546_TONSIL_ILC3,Germinal center,ILC3,5.461056401
168547_TONSIL_ILC3,Germinal center,ILC3,0.833796554
168548_TONSIL_ILC3,Germinal center,ILC3,29.41215324
168525_TONSIL_ILC1,Extra-follicular zone,ILC1,8.223776224
168526_TONSIL_ILC1,Extra-follicular zone,ILC1,7.468253455
168527_TONSIL_ILC1,Extra-follicular zone,ILC1,0.549276434
168528_TONSIL_ILC1,Extra-follicular zone,ILC1,3.149388623
168529_TONSIL_ILC1,Extra-follicular zone,ILC1,4.903819477
168530_TONSIL_ILC1,Extra-follicular zone,ILC1,4.111158662
168531_TONSIL_ILC1,Extra-follicular zone,ILC1,3.023086591
168532_TONSIL_ILC1,Extra-follicular zone,ILC1,14.16324647
168533_TONSIL_ILC2,Extra-follicular zone,ILC2,11.89887036
168534_TONSIL_ILC2,Extra-follicular zone,ILC2,13.80291615
168535_TONSIL_ILC2,Extra-follicular zone,ILC2,1.122428343
168536_TONSIL_ILC2,Extra-follicular zone,ILC2,7.11856171
168537_TONSIL_ILC2,Extra-follicular zone,ILC2,10.17915729
168538_TONSIL_ILC2,Extra-follicular zone,ILC2,6.394073504
168539_TONSIL_ILC2,Extra-follicular zone,ILC2,3.139597479
168540_TONSIL_ILC2,Extra-follicular zone,ILC2,25.45081394
168541_TONSIL_ILC3,Extra-follicular zone,ILC3,3.084637593
168542_TONSIL_ILC3,Extra-follicular zone,ILC3,1.913043478
168543_TONSIL_ILC3,Extra-follicular zone,ILC3,0.383576089
168544_TONSIL_ILC3,Extra-follicular zone,ILC3,1.518375591
168545_TONSIL_ILC3,Extra-follicular zone,ILC3,14.50666434
168546_TONSIL_ILC3,Extra-follicular zone,ILC3,5.841318206
168547_TONSIL_ILC3,Extra-follicular zone,ILC3,2.314099998
168548_TONSIL_ILC3,Extra-follicular zone,ILC3,24.21912617
